,Unnamed: 0,zipcode,child capacity,ageless5,pop,Latitude,Longitude,radius_meters,Desert,Few_Child,Not_Desert,Classification
0,0,80477,203.0,0,146,40.348242,-106.92691,100,0,2,0,2
1,1,80478,39.0,27,1625,40.00167,-105.8686,5200,0,2,0,2
2,2,80480,15.0,89,1342,40.62162100000001,-106.24457,31400,1,0,0,1
3,3,80481,486.0,6,601,40.10613,-105.48044,6800,0,2,0,2
4,4,80483,36.0,56,660,40.149432,-106.90681,7500,0,0,3,3
5,5,80487,594.0,702,17708,40.502772,-106.87521,21700,0,0,3,3
6,6,80498,96.0,333,7530,39.722417,-106.13743999999998,13100,1,0,0,1
7,7,80501,2157.0,2994,41996,40.171484,-105.10033,2800,0,0,3,3
8,8,80503,558.0,1546,33811,40.156035,-105.17365,7800,0,0,3,3
9,9,80504,887.0,3598,52339,40.160138,-105.01772,8100,1,0,0,1
10,10,80510,359.0,8,398,40.223935,-105.52421,6500,0,2,0,2
11,11,80511,80.0,0,150,40.628112,-105.569245,200,0,2,0,2
12,12,80512,434.0,38,1673,40.70025800000001,-105.64876,17900,0,0,3,3
13,13,80758,146.0,262,3674,40.064734,-102.21336,20900,0,0,3,3
14,14,81001,551.0,2426,30765,38.282872,-104.57029,4700,1,0,0,1
15,15,81003,315.0,638,15040,38.281052,-104.62567,2300,0,0,3,3
16,16,81004,849.0,1761,26215,38.197344,-104.6331,10300,0,0,3,3
17,17,81005,602.0,1718,31361,38.235865,-104.66972,12200,0,0,3,3
18,18,81006,165.0,524,11592,38.243266,-104.52912,6100,1,0,0,1
19,19,81007,653.0,1579,30901,38.333601,-104.74329,9800,0,0,3,3
20,20,81008,214.0,709,10723,38.370203,-104.61964,9300,1,0,0,1
21,21,81020,15.0,13,948,37.400041,-104.66016,19300,0,2,0,2
22,22,81022,20.0,114,1435,38.089719,-104.37807,16600,1,0,0,1
23,23,81023,15.0,39,1430,38.06942100000001,-104.95609,9000,0,0,3,3
24,24,81025,133.0,53,940,38.243711,-104.23282,18800,0,0,3,3
25,25,81029,15.0,10,192,37.136682,-102.5296,18800,0,2,0,2
26,26,81030,15.0,8,150,38.107901,-103.51113,500,0,2,0,2
27,27,81036,26.0,97,1002,38.467553,-102.80439,22200,1,0,0,1
28,28,81039,20.0,103,1732,38.002861,-104.03445,19500,1,0,0,1
29,29,81137,46.0,391,5785,37.099348,-107.64223,11600,1,0,0,1
30,30,81040,21.0,0,301,37.777997,-105.20072,18300,0,2,0,2
31,31,81041,28.0,60,726,37.962678,-102.33025,17200,0,0,3,3
32,32,81047,44.0,150,1549,38.060575,-102.19677,19700,1,0,0,1
33,33,81049,15.0,10,306,37.242629,-103.47108,28800,0,2,0,2
34,34,81050,309.0,551,9064,37.995879,-103.54001,18700,0,0,3,3
35,35,81052,332.0,561,9119,38.08759000000001,-102.61855,20700,0,0,3,3
36,36,81054,128.0,159,4910,38.037435,-103.18631,25100,0,0,3,3
37,37,81055,19.0,23,1410,37.499829,-105.02943,12900,0,2,0,2
38,38,80918,1631.0,2802,48995,38.916226,-104.76602,2700,0,0,3,3
39,39,80919,763.0,1423,27541,38.925451,-104.85255,3000,0,0,3,3
40,40,80920,1325.0,2627,38618,38.952366,-104.76701,2800,0,0,3,3
41,41,80921,527.0,1409,21870,39.044969,-104.83755,7500,0,0,3,3
42,42,80922,1204.0,2301,28508,38.897344,-104.70145,1900,0,0,3,3
43,43,80924,50.0,502,8087,39.527772,-106.039412,1800,1,0,0,1
44,44,80925,234.0,1111,9694,38.758252,-104.6555,3900,1,0,0,1
45,45,80863,1058.0,477,12876,38.996004,-105.06335,8900,0,0,3,3
46,46,80864,15.0,52,1341,38.688075,-104.17321,12600,1,0,0,1
47,47,80902,162.0,1974,12931,38.942365,-104.807081,3000,1,0,0,1
48,48,80903,912.0,560,15879,38.834282,-104.81654,1700,0,0,3,3
49,49,80904,652.0,694,20091,38.850558,-104.86481,2400,0,0,3,3
50,50,80905,319.0,1211,17087,38.837542,-104.83632,1700,1,0,0,1
51,51,80906,962.0,2045,35664,38.791242,-104.82492,5500,0,0,3,3
52,52,80907,494.0,1053,28190,38.873692,-104.81869,2500,0,0,3,3
53,53,80908,237.0,934,16657,39.035216,-104.69575,7800,1,0,0,1
54,54,80909,843.0,2661,38731,38.851493,-104.77856,2300,1,0,0,1
55,55,80910,456.0,2335,30379,38.813044,-104.77158,1900,1,0,0,1
56,56,80911,863.0,2423,34718,38.746807,-104.7232,2800,0,0,3,3
57,57,80913,98.0,35,3428,38.743871,-104.76387,4100,0,0,3,3
58,58,80915,241.0,1296,21078,38.858644,-104.70892,2200,1,0,0,1
59,59,80916,670.0,4625,40125,38.808934,-104.73823,3300,1,0,0,1
60,60,80917,689.0,1791,31036,38.888394,-104.73975,2000,0,0,3,3
61,61,81058,65.0,37,926,38.107593,-103.86848,5800,0,0,3,3
62,62,81063,74.0,74,2738,38.253191,-103.76209,16400,0,0,3,3
63,63,81064,15.0,8,271,37.315497,-102.95462,17700,0,2,0,2
64,64,81067,163.0,358,5986,38.042083,-103.72231,13800,0,0,3,3
65,65,81069,590.0,50,1530,37.909758,-104.89892,13300,0,0,3,3
66,66,81073,90.0,105,1947,37.409787,-102.61726,20300,0,0,3,3
67,67,81077,9.0,62,686,38.015189,-103.62827,500,1,0,0,1
68,68,81082,296.0,596,11176,37.191882,-104.47809,19700,0,0,3,3
69,69,81087,15.0,12,143,37.377938,-102.42882,5100,0,2,0,2
70,70,81089,356.0,33,4352,37.621071,-104.80456,21200,0,0,3,3
71,71,81090,25.0,55,941,37.347009,-102.26776,20300,0,0,3,3
72,72,81091,121.0,14,676,37.193451,-104.97188,16700,0,2,0,2
73,73,81092,30.0,51,787,38.17924,-102.75161,7400,0,0,3,3
74,74,81101,403.0,1022,15568,37.471802,-105.83471000000002,16300,0,0,3,3
75,75,81120,6.0,111,2128,37.086403,-106.08325,23800,1,0,0,1
76,76,81121,30.0,13,246,37.039131,-107.42271,5500,0,2,0,2
77,77,81122,409.0,478,8052,37.329743,-107.59026,18200,0,0,3,3
78,78,81123,55.0,94,1037,37.419263,-105.58024,13000,0,0,3,3
79,79,81125,274.0,283,3436,37.773899,-106.08966,13200,0,0,3,3
80,80,81129,57.0,15,128,37.101134,-106.02648,1600,0,2,0,2
81,81,81130,115.0,13,820,37.705276,-106.95429,24800,0,2,0,2
82,82,81132,109.0,104,3101,37.731981,-106.39773999999998,20900,0,0,3,3
83,83,81140,90.0,205,2470,37.274108,-106.05178,11900,0,0,3,3
84,84,81143,20.0,19,750,38.142453,-105.91579,14600,0,2,0,2
85,85,81144,288.0,523,7008,37.569501,-106.14946,13500,0,0,3,3
86,86,81146,19.0,75,719,37.620038,-105.73101,12100,1,0,0,1
87,87,81147,295.0,562,11944,37.241179,-107.11287,29600,0,0,3,3
88,88,80521,578.0,1302,36768,40.586282,-105.10493999999998,3000,0,0,3,3
89,89,80524,684.0,2268,34670,40.606962,-105.05106,9400,1,0,0,1
90,90,80525,2492.0,2948,53128,40.532354,-105.0535,4000,0,0,3,3
91,91,80526,1414.0,2586,46018,40.539432,-105.11576,5100,0,0,3,3
92,92,80528,484.0,1255,20681,40.502779,-105.01123,3600,0,0,3,3
93,93,80530,509.0,392,4322,40.104211,-104.93576000000002,1100,0,0,3,3
94,94,80534,287.0,1414,16258,40.335398,-104.91477,5600,1,0,0,1
95,95,80535,24.0,99,2604,40.67069,-105.17388,5300,1,0,0,1
96,96,80536,30.0,28,2360,40.878334,-105.40415,15400,0,2,0,2
97,97,80654,66.0,190,2688,40.196296,-104.07361,12200,0,0,3,3
98,98,80701,611.0,805,15316,40.226357,-103.80625,19800,0,0,3,3
99,99,80720,141.0,168,2880,40.124199,-103.18362,24500,0,0,3,3
100,100,80537,736.0,2424,43394,40.383636,-105.10349,8400,1,0,0,1
101,101,80538,1044.0,2141,46754,40.435645,-105.08726,8500,0,0,3,3
102,102,80540,35.0,212,4493,40.253033,-105.33762,10100,1,0,0,1
103,103,80542,36.0,447,4384,40.234505,-104.99747,2400,1,0,0,1
104,104,80543,163.0,470,6577,40.332926,-104.85394,4500,0,0,3,3
105,105,80545,605.0,0,683,40.824993,-105.63525,13500,0,2,0,2
106,106,80547,34.0,225,1908,40.528966,-104.98083,1300,1,0,0,1
107,107,80549,270.0,1009,10674,40.762264,-105.01233,11600,1,0,0,1
108,108,80723,242.0,871,7174,40.23045,-103.60824,13700,1,0,0,1
109,109,80728,27.0,82,1130,40.620805,-102.84813,15300,1,0,0,1
110,110,80729,15.0,13,618,40.877461,-104.22705,21600,0,2,0,2
111,111,80731,116.0,87,1368,40.593911,-102.58831,15600,0,0,3,3
112,112,80734,62.0,230,2890,40.582954,-102.30451,17700,1,0,0,1
